username,repo_name,stars,repo_url
jwasham,coding-interview-university,203000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,144000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,132000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,126000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,63200,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,55100,https://github.com/kdn251/interviews
azl397985856,leetcode,45900,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,43200,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,36100,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26600,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24500,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,22800,https://github.com/halfrost/LeetCode-Go
huihut,interview,21800,https://github.com/huihut/interview
youngyangyang04,leetcode-master,21100,https://github.com/youngyangyang04/leetcode-master
keon,algorithms,20200,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,18700,https://github.com/trekhleb/homemade-machine-learning
TheAlgorithms,C-Plus-Plus,17400,https://github.com/TheAlgorithms/C-Plus-Plus
mxgmn,WaveFunctionCollapse,17200,https://github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,Javascript,16200,https://github.com/TheAlgorithms/Javascript
AtsushiSakai,PythonRobotics,14100,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13000,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,12900,https://github.com/OpenGenus/cosmos
williamfiset,Algorithms,11700,https://github.com/williamfiset/Algorithms
apachecn,apachecn-algo-zh,10500,https://github.com/apachecn/apachecn-algo-zh
halfrost,Halfrost-Field,10500,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,9200,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8300,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7400,https://github.com/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,7000,https://github.com/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,7000,https://github.com/mgechev/javascript-algorithms
